X,Y,Z,RX,RY,RZ
355.31,-497.47,154.57,96.94,9.20,-4.61
355.24,-497.21,154.67,96.95,9.22,-4.65
355.17,-496.95,154.78,96.97,9.24,-4.68
355.09,-496.68,154.86,96.99,9.26,-4.72
355.01,-496.41,154.94,97.01,9.28,-4.76
354.93,-496.13,155.02,97.03,9.30,-4.80
354.85,-495.86,155.11,97.05,9.32,-4.83
354.77,-495.59,155.19,97.07,9.34,-4.87
354.69,-495.32,155.27,97.10,9.36,-4.91
354.62,-495.05,155.36,97.12,9.37,-4.95
354.54,-494.77,155.44,97.14,9.39,-4.99
354.46,-494.50,155.52,97.16,9.41,-5.03
354.38,-494.23,155.60,97.18,9.43,-5.06
354.30,-493.96,155.69,97.20,9.45,-5.10
354.22,-493.69,155.77,97.22,9.47,-5.14
354.14,-493.41,155.85,97.24,9.49,-5.18
354.06,-493.14,155.94,97.27,9.51,-5.22
353.98,-492.87,156.02,97.29,9.53,-5.26
353.90,-492.60,156.10,97.31,9.55,-5.29
353.83,-492.33,156.18,97.33,9.57,-5.33
353.75,-492.05,156.27,97.35,9.59,-5.37
353.67,-491.78,156.35,97.37,9.61,-5.41
353.59,-491.51,156.43,97.39,9.62,-5.45
353.51,-491.24,156.52,97.41,9.64,-5.49
353.43,-490.96,156.60,97.44,9.66,-5.52
353.35,-490.69,156.68,97.46,9.68,-5.56
353.27,-490.42,156.76,97.48,9.70,-5.60
353.19,-490.15,156.85,97.50,9.72,-5.64
353.11,-489.88,156.91,97.53,9.74,-5.68
353.02,-489.61,156.97,97.55,9.76,-5.72
352.94,-489.34,157.04,97.58,9.78,-5.76
352.85,-489.07,157.10,97.61,9.80,-5.80
352.76,-488.80,157.16,97.63,9.81,-5.84
352.68,-488.53,157.22,97.66,9.83,-5.88
352.59,-488.26,157.29,97.69,9.85,-5.92
352.51,-487.99,157.35,97.71,9.87,-5.96
352.42,-487.72,157.41,97.74,9.89,-6.00
352.34,-487.45,157.48,97.77,9.91,-6.04
352.25,-487.18,157.54,97.79,9.93,-6.08
352.16,-486.91,157.60,97.82,9.94,-6.12
352.08,-486.64,157.66,97.85,9.96,-6.16
351.99,-486.37,157.73,97.87,9.98,-6.20
351.91,-486.10,157.79,97.90,10.00,-6.24
351.82,-485.83,157.85,97.93,10.02,-6.28
351.74,-485.56,157.92,97.95,10.04,-6.32
351.65,-485.29,157.98,97.98,10.06,-6.36
351.56,-485.02,158.04,98.01,10.08,-6.40
351.48,-484.75,158.11,98.03,10.09,-6.44
351.39,-484.48,158.17,98.06,10.11,-6.48
351.31,-484.21,158.23,98.09,10.13,-6.52
351.22,-483.94,158.29,98.11,10.15,-6.56
351.14,-483.67,158.36,98.14,10.17,-6.60
351.05,-483.40,158.42,98.17,10.19,-6.64
350.96,-483.13,158.48,98.19,10.21,-6.68
350.87,-482.86,158.53,98.22,10.22,-6.72
350.77,-482.58,158.58,98.26,10.24,-6.76
350.68,-482.31,158.63,98.29,10.26,-6.80
350.58,-482.03,158.68,98.32,10.28,-6.85
350.49,-481.76,158.73,98.35,10.30,-6.89
350.39,-481.48,158.78,98.38,10.32,-6.93
350.29,-481.21,158.83,98.42,10.34,-6.97
350.20,-480.93,158.88,98.45,10.36,-7.01
350.10,-480.66,158.93,98.48,10.37,-7.06
350.01,-480.38,158.98,98.51,10.39,-7.10
349.91,-480.11,159.03,98.54,10.41,-7.14
349.82,-479.83,159.08,98.58,10.43,-7.18
349.72,-479.56,159.13,98.61,10.45,-7.22
349.62,-479.28,159.18,98.64,10.47,-7.27
349.53,-479.01,159.23,98.67,10.49,-7.31
349.43,-478.73,159.28,98.70,10.50,-7.35
349.34,-478.46,159.33,98.73,10.52,-7.39
349.24,-478.18,159.38,98.77,10.54,-7.43
349.15,-477.91,159.43,98.80,10.56,-7.48
349.05,-477.63,159.47,98.83,10.58,-7.52
348.95,-477.36,159.52,98.86,10.60,-7.56
348.86,-477.08,159.57,98.89,10.62,-7.60
348.76,-476.81,159.62,98.93,10.64,-7.64
348.67,-476.53,159.67,98.96,10.65,-7.69
348.57,-476.26,159.72,98.99,10.67,-7.73
348.48,-475.98,159.77,99.02,10.69,-7.77
348.37,-475.71,159.81,99.06,10.71,-7.81
348.26,-475.43,159.85,99.09,10.73,-7.86
348.16,-475.15,159.89,99.13,10.75,-7.90
348.05,-474.88,159.93,99.17,10.77,-7.94
347.95,-474.60,159.97,99.20,10.78,-7.99
347.84,-474.32,160.01,99.24,10.80,-8.03
347.73,-474.05,160.05,99.28,10.82,-8.07
347.63,-473.77,160.09,99.31,10.84,-8.12
347.52,-473.49,160.13,99.35,10.86,-8.16
347.42,-473.21,160.17,99.38,10.88,-8.20
347.31,-472.94,160.21,99.42,10.89,-8.25
347.20,-472.66,160.25,99.46,10.91,-8.29
347.10,-472.38,160.28,99.49,10.93,-8.33
346.99,-472.11,160.32,99.53,10.95,-8.38
346.89,-471.83,160.36,99.57,10.97,-8.42
346.78,-471.55,160.40,99.60,10.99,-8.46
346.67,-471.28,160.44,99.64,11.01,-8.51
346.57,-471.00,160.48,99.67,11.02,-8.55
346.46,-470.72,160.52,99.71,11.04,-8.59
346.36,-470.45,160.56,99.75,11.06,-8.64
346.25,-470.17,160.60,99.78,11.08,-8.68
346.14,-469.89,160.64,99.82,11.10,-8.72
346.04,-469.62,160.68,99.86,11.12,-8.77
345.93,-469.34,160.72,99.89,11.14,-8.81
345.83,-469.06,160.76,99.93,11.15,-8.85
345.72,-468.79,160.80,99.96,11.17,-8.90
345.61,-468.52,160.83,100.00,11.19,-8.94
345.49,-468.25,160.86,100.04,11.21,-8.98
345.38,-467.99,160.89,100.08,11.23,-9.02
345.27,-467.72,160.92,100.12,11.24,-9.06
345.16,-467.46,160.95,100.15,11.26,-9.11
345.05,-467.19,160.99,100.19,11.28,-9.15
344.93,-466.93,161.02,100.23,11.30,-9.19
344.82,-466.66,161.05,100.27,11.31,-9.23
